StudyID,Study,T,N,Mean,SD
114,"Asikainen et al., 2003 W3",1,40,-1.3,4.71
115,"Asikainen et al., 2003 W4",2,21,1.4,7.12
115,"Asikainen et al., 2003 W4",1,40,-1.3,4.71
116,"Asikainen et al., 2003 W5",2,18,-1.1,5.64
116,"Asikainen et al., 2003 W5",1,40,-1.3,4.71
117,"Asikainen et al., 2003 W6",2,21,0.7,5.91
117,"Asikainen et al., 2003 W6",1,40,-1.3,4.71
118,"Baker et al., 2008",2,39,2,7.33
118,"Baker et al., 2008",1,40,4,6.96
119,"Baross et al., 2017",2,12,-1.8,1.8
119,"Baross et al., 2017",1,12,-0.5,1.9
120,"Bell et al., 2010",2,43,0,6.08
120,"Bell et al., 2010",1,45,-1,5.4
121,"Braith et al., 1994 High",2,14,-8,5
121,"Braith et al., 1994 High",1,11,-1,7.62
122,"Braith et al., 1994 Mod",2,19,-7,4.22
122,"Braith et al., 1994 Mod",1,11,-1,7.62
123,"Brandon & Elliot-Lloyd., 2006 AA",2,15,-3,6.02
123,"Brandon & Elliot-Lloyd., 2006 AA",1,12,1,9.01
124,"Brandon & Elliot-Lloyd., 2006 Wh",2,13,-3.6,6.25
124,"Brandon & Elliot-Lloyd., 2006 Wh",1,12,0.1,6.36
125,"Brenner et al., 2019",2,18,1,4.82
125,"Brenner et al., 2019",1,15,-1,6.96
126,"Brixius et al., 2008 A",2,7,0,1.62
126,"Brixius et al., 2008 A",1,7,-4.7,2.4
127,"Brown et al., 2014 Built",2,27,-4,4.43
127,"Brown et al., 2014 Built",1,19,-4,4.22
128,"Brown et al., 2014 Nature",2,27,-1,6.96
128,"Brown et al., 2014 Nature",1,19,-4,4.22
129,"Chiang et al., 2019 Walk Ex",2,11,-7,5.69
129,"Chiang et al., 2019 Walk Ex",1,10,-2,6.6
130,"Chiang et al., 2019 Walk Step",2,11,0,7.22
130,"Chiang et al., 2019 Walk Step",1,10,-2,6.6
131,"Coghill et al., 2008",2,38,-1,5.69
131,"Coghill et al., 2008",1,29,-2,6.08
132,"Cooper et al., 2000",2,48,-2,5.69
132,"Cooper et al., 2000",1,42,1,4.84
